id,url,headline,author,date
14,https://www.theverge.com/2022/9/2/23334794/google-reinstates-parler-play-store-moderation,Google put Parler’s app back in the Play Store,Emma Roth,2022-09-02
15,https://www.theverge.com/2022/9/2/23334580/samsung-data-breach-us-names-birthdays-contact-info,"Samsung says a data breach revealed some customers’ names, birthdays, and more",Mitchell Clark,2022-09-02
16,https://www.theverge.com/23323325/honor-70-review-120hz-display-snapdragon-778g-plus-triple-camera,"Honor 70 review: no deal-breakers, no showstoppers",Mitchell Clark,2022-09-02
17,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.",Mitchell Clark,N/A
18,https://www.theverge.com/2022/9/2/23334501/sonos-sub-mini-leak-pictures-design,Leaked Sonos Sub Mini marketing photos show off its cylindrical shape,Jon Porter,2022-09-02
19,https://www.theverge.com/2022/8/26/23323894/bandcamp-fridays-coming-back-september-2022-music-psa,PSA: Bandcamp Friday is back,Richard Lawler,2022-09-02
20,https://www.theverge.com/23309954/apple-iphone-14-event-rumors-announcements-airpods-pro-watch-ios-16-watchos-9,What to expect from Apple’s iPhone 14 event,Mitchell Clark,2022-08-31
21,https://www.theverge.com/23199281/back-to-school-student-gift-ideas-college-high-school-dorm-supplies-tech-2022,The Verge’s 2022 back-to-school gift guide,Emma Roth,2022-09-02
22,https://www.theverge.com/2022/9/2/23326730/honor-magic-v2-foldable-international-china-release-app-market,"China is all in on foldables — and Honor’s CEO thinks the rest of the world is ready, too",Alice Newcome-Beill,2022-09-02
23,https://www.theverge.com/2022/9/2/23334338/elon-musk-twitter-david-sacks-subpoena-all-in-podcast,Judge agrees Musk’s buddy David Sacks is fighting a subpoena for podcast clout,Jon Porter,2022-09-02
24,https://www.theverge.com/2022/9/2/23326868/dalle-midjourney-ai-promptbase-prompt-market-sales-artist-interview,Professional AI whisperers have launched a marketplace for DALL-E prompts,Richard Lawler,2022-09-02
25,https://www.theverge.com/23332916/bts-how-to-members-weverse-social-media,So you just discovered BTS,Adi Robertson,N/A
26,https://www.theverge.com/23329415/the-lord-of-the-rings-of-power-review-amazon-prime,Amazon’s The Lord of the Rings: The Rings of Power is small-screen high fantasy done right,Monica Chin,2022-08-31
27,https://www.theverge.com/2022/9/2/23333400/google-chromeos-touch-android-games-keyboard-controls,A new ChromeOS gaming overlay puts touch-based Android games on your PC,Charles Pulliam-Moore,2022-09-02
28,https://www.theverge.com/2022/9/2/23334150/lg-moodup-fridge-led-rgb-lighting-bluetooth-speaker-music-mood,LG’s MoodUp is a fridge that’s as flashy on the outside as I feel on the inside,Richard Lawler,2022-09-02
29,https://www.theverge.com/2022/9/2/23334102/google-play-third-party-payment-fee-countries,Google expands Play Store billing alternatives to many countries,Jon Porter,2022-09-02
30,https://www.theverge.com/23312359/apple-iphone-lightning-cable-anniversary-10-years,"Apple’s Lightning cable turns 10, but its time is over",Thomas Ricker,2022-09-01
31,https://www.theverge.com/2022/9/1/23333652/apple-store-oklahoma-city-union-election-cwa,Another Apple Store union election is brewing,Mitchell Clark,2022-09-02
32,https://www.theverge.com/2022/9/1/23333362/apple-app-store-lawsuit-flicktype-kosta-eleftheriou-scams,Apple settles lawsuit over its App Store moderation and power ,Mitchell Clark,2022-09-01
33,https://www.theverge.com/2022/9/1/23333605/microsoft-xbox-game-pass-friends-family-pricing-confirmed,Microsoft confirms new Xbox Game Pass Friends & Family plan and its pricing,Mitchell Clark,2022-09-01
34,https://www.theverge.com/good-deals/22916033/best-tablet-deals,Here are the best tablet deals right now,Tom Warren,2022-09-01
35,https://www.theverge.com/23329531/the-last-of-us-part-1-review-ps5-remake,The Last of Us’ PS5 remake makes it feel like a modern game,Alice Newcome-Beill,2022-08-31
36,https://www.theverge.com/2022/9/1/23333515/lg-oled-flex-transforming-tv-curved-flat-hands-on,"Hang on, is LG secretly bringing back curved TVs?",Andrew Webster,2022-09-01
37,https://www.theverge.com/2022/9/1/23333124/t-mobile-sprint-layoffs-5g-merger-jobs-promise,The T-Mobile / Sprint merger hasn’t created jobs — it’s cut thousands,Jon Porter,2022-09-01
38,https://www.theverge.com/2022/9/1/23333189/sennheiser-ambeo-soundbar-plus-hands-on-first-impressions-listening-experience,Sennheiser’s more-affordable soundbar is still a premium-sounding beast,Jasmine Hicks,N/A
39,https://www.theverge.com/2022/9/1/23333091/microsoft-edge-sidebar-widgets-search-email-recipes,"Microsoft Edge’s new sidebar banishes recipe stories, shows you email",Jon Porter,2022-09-01
40,https://www.theverge.com/2022/9/1/23332907/lenovo-glasses-t1-yoga-smart-display-ifa,Lenovo’s Glasses T1 let you bring a private big screen display with you,Mitchell Clark,2022-09-01
41,https://www.theverge.com/2022/9/1/23332838/usb-4-version-2-80-gbps-thunderbolt,"Next-gen USB 4 promises to be twice as fast, using cables you may already own",Umar Shakir,2022-09-01
42,https://www.theverge.com/2022/9/1/23332930/micron-idaho-manufacturing-chips-act-biden-white-house,Micron launches $15 billion Idaho project amid federal push for US tech manufacturing,Mitchell Clark,2022-09-01
43,https://www.theverge.com/23331712/motorola-edge-2022-review-screen-camera-battery-price,Motorola Edge (2022) review: a passing grade,Makena Kelly,2022-09-01
44,https://www.theverge.com/2022/9/1/23332807/house-of-the-dragon-miguel-sapochnik-exit,House of the Dragon co-showrunner Miguel Sapochnik has left the show ,Allison Johnson,2022-09-01
45,https://www.theverge.com/2022/9/1/23331228/sennheiser-ambeo-soundbar-plus-announced-features-price,"Sennheiser’s new $1,500 Ambeo Soundbar Plus will probably sound incredible",Charles Pulliam-Moore,2022-09-01
46,https://www.theverge.com/2022/9/1/23332653/california-power-grid-heatwave-electricity-outages,California’s power grid is struggling to cope with extreme heat,Chris Welch,2022-09-01
