id,url,headline,author,date
0,https://www.theverge.com/2022/9/3/23335684/nasa-sls-roll-back-launch-delay-artemis,‘Large’ hydrogen leak foils NASA’s schedule for Artemis I mission ,Mary Beth Griggs,N/A
1,https://www.theverge.com/2022/9/3/23334933/matter-eve-smart-home-demonstration-nest-hub-android-smartthings-alexa-echo,Why it Matters that I just saw a Google Nest Hub control an Apple HomeKit smart plug,Emma Roth,N/A
2,https://www.theverge.com/2022/9/2/23334619/microsoft-sony-call-of-duty-playstation-letter-commitment-activision-blizzard,Microsoft will keep Call of Duty on PlayStation for ‘several more years’ beyond existing deal,Jon Porter,N/A
3,https://www.theverge.com/23334224/twitter-extremism-features-health-research-team-elon-musk-acquisition,Twitter had a new plan to fight extremism — then Elon arrived,Tom Warren,N/A
4,https://www.theverge.com/2022/9/3/23335692/twitter-edit-button-platform-bluesky,Twitter’s edit button is a big test for the platform’s future,Zoe Schiffer,N/A
5,https://www.theverge.com/2022/9/3/23319846/iphone-14-pro-reportedly-bring-back-old-battery-percentage-indicator-rumors-apple,The iPhone 14 Pro could bring back the old battery percentage indicator,Casey Newton,N/A
6,https://www.theverge.com/23323550/apple-maps-10-year-anniversary-iphone-google,Apple Maps turns 10 — and it’s finally worth using,David Pierce,N/A
7,https://www.theverge.com/featured-story,The best Labor Day deals happening now,Emma Roth,N/A
8,https://www.theverge.com/2022/9/3/23336007/google-pixel-7-pro-unboxing-video-launch-leak-rumors,Alleged Google Pixel 7 Pro appears in unboxing video ahead of launch,Jay Peters,2022-09-03
9,https://www.theverge.com/2022/9/3/23335694/hackers-traffic-jam-russia-moscow-ride-hailing-app-yandex-taxi,Hackers caused a massive traffic jam in Moscow using a ride-hailing app,Antonio G. Di Benedetto,2022-09-03
10,https://www.theverge.com/2022/9/3/23327972/nasa-artemis-i-sls-second-delay,NASA delays Artemis I’s launch for a second time,Emma Roth,2022-09-03
11,https://www.theverge.com/2022/9/1/23330632/free-to-play-gacha-games-closures-dragalia-lost-kingdom-hearts,The ticking time bomb of modern free-to-play games,Emma Roth,2022-09-01
12,https://www.theverge.com/2022/8/27/23318116/nasa-artemis-i-sls-megarocket-launch-orion-how-to-watch,How to watch NASA’s Artemis I SLS megarocket launch,Mitchell Clark,N/A
13,https://www.theverge.com/2022/9/2/23334656/meta-qualcomm-quest-vr-ar-snapdragon-xr-custom-chips,Meta’s chip deal with Qualcomm may reflect its unrealized VR ambitions,Alicia Haddick,2022-09-02
